"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24370","Adiciona produto em favoritos e valida adição","00008120-000104A00E83601E — ","2026-08-10","broken","2026-08-10","","","",""
"","22576","Adiciona produto em favoritos e valida adição","00008130-001059003E82001C — ","2026-08-10","broken","2026-08-10","","","",""
"","24036","Adiciona produto em favoritos e valida adição","00008110-000675440E63801E — ","2026-08-10","broken","2026-08-10","","","",""
"","24526","Adiciona produto em favoritos e valida adição","00008110-00026C342120201E — ","2026-08-10","broken","2026-08-10","","","",""
"","24331","Adiciona produto em favoritos e valida adição","00008120-000C30841E38201E — ","2026-08-10","broken","2026-08-10","","","",""
