"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24089","Adiciona produto em favoritos e valida adição","00008110-0008056A2205801E — ","2026-08-10","broken","2026-08-10","","","",""
"","22932","Adiciona produto em favoritos e valida adição","00008130-001651D12EF3803A — ","2026-08-10","broken","2026-08-10","","","",""
"","24220","Adiciona produto em favoritos e valida adição","00008120-000A186022DB401E — ","2026-08-10","broken","2026-08-10","","","",""
"","23921","Adiciona produto em favoritos e valida adição","00008110-000E54841E99401E — ","2026-08-10","broken","2026-08-10","","","",""
"","24012","Adiciona produto em favoritos e valida adição","00008120-000C60121E6A601E — ","2026-08-10","broken","2026-08-10","","","",""
