"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24455","Adiciona produto em favoritos e valida adição","00008120-001C148011D3401E — ","2026-09-04","broken","2026-09-04","","","",""
"","23902","Adiciona produto em favoritos e valida adição","00008110-00026C342120201E — ","2026-09-04","broken","2026-09-04","","","",""
"","24010","Adiciona produto em favoritos e valida adição","00008120-001E19663EA3601E — ","2026-09-04","broken","2026-09-04","","","",""
"","24254","Adiciona produto em favoritos e valida adição","00008110-00164CAC0161801E — ","2026-09-04","broken","2026-09-04","","","",""
"","23082","Adiciona produto em favoritos e valida adição","00008130-001E70483A32001C — ","2026-09-04","broken","2026-09-04","","","",""
